arm,scenario,block,chunk,compute_multiplier,local_rtt_ms,local_bandwidth_gbps,inter_pod_rtt_ms,inter_pod_bandwidth_gbps,jitter_fraction,predicted_target_pass_ms,predicted_tok_s_per_user,passes_5_tok_s,predicted,corrected_replay_status,prediction_use,compute_degradation_percent
uncertainty_envelope,conservative,12,2,1.3,1.0,10.0,10.0,2.0,0.2,2282.7311832698997,5.69493249808685,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,12,4,0.9,0.05,100.0,1.0,25.0,0.0,374.8939960000039,34.676468918429585,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,12,4,1.0,0.25,25.0,5.0,10.0,0.0,773.0558790400019,16.816378159032556,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,12,4,1.3,1.0,10.0,10.0,2.0,0.2,2096.659899861991,6.200337976061689,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,16,1,0.9,0.05,100.0,1.0,25.0,0.0,471.9133217600127,36.02356453214346,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,16,1,1.0,0.25,25.0,5.0,10.0,0.0,1110.3187788800117,15.310918200580241,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,16,1,1.3,1.0,10.0,10.0,2.0,0.2,3370.57009348902,5.043657164358977,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,16,2,0.9,0.05,100.0,1.0,25.0,0.0,388.6686117599992,43.73906069496914,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,16,2,1.0,0.25,25.0,5.0,10.0,0.0,870.9799732799955,19.518244416091733,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,16,2,1.3,1.0,10.0,10.0,2.0,0.2,2534.2441233666896,6.708114598453073,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,optimistic,16,4,0.9,0.05,100.0,1.0,25.0,0.0,400.1509217600044,42.48397061095855,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,nominal,16,4,1.0,0.25,25.0,5.0,10.0,0.0,824.3420620800023,20.622507065944372,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
uncertainty_envelope,conservative,16,4,1.3,1.0,10.0,10.0,2.0,0.2,2236.87495618349,7.599888385806351,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
compute_sensitivity,compute_plus_0_percent,16,1,1.0,,,,,,1008.3387788800039,16.859413082260385,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,0.0
compute_sensitivity,compute_plus_10_percent,16,1,1.1,,,,,,1039.4013988800045,16.355567751128834,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,10.0
compute_sensitivity,compute_plus_20_percent,16,1,1.2,,,,,,1070.4640188799776,15.880963488886842,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,20.0
compute_sensitivity,compute_plus_30_percent,16,1,1.3,,,,,,1101.5266388799942,15.433126535446469,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,30.0
compute_sensitivity,compute_plus_50_percent,16,1,1.5,,,,,,1163.6518788799954,14.609180209774033,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,50.0
network_sensitivity,nominal,16,1,1.2,0.25,25.0,5.0,10.0,0.1,1329.0918951339727,12.79068818509829,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
network_sensitivity,local_degraded,16,1,1.2,2.0,2.0,5.0,10.0,0.1,6202.313341082134,2.740912795778545,False,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
network_sensitivity,inter_degraded,16,1,1.2,0.25,25.0,20.0,1.0,0.1,1416.4206929535999,12.002083903865204,True,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
network_sensitivity,both_degraded,16,1,1.2,2.0,2.0,20.0,1.0,0.1,6287.621694289212,2.7037250055041318,False,True,FAIL,UNVALIDATED_DIAGNOSTIC_ONLY,
